,17%,25%,50%,75%,83%
B[Lanai-South Depth],0.40073183,0.446533529,0.566894641,0.698115938,0.755894034
B[Maui-Kahului Depth],0.193890402,0.237526221,0.341986165,0.450594979,0.499317118
B[Maui-Kihei Depth],0.236555899,0.276358379,0.373137111,0.477839696,0.525581552
B[Maui-Lahaina Depth],0.196071597,0.241182918,0.343170248,0.449460303,0.497006578
B[Maui-Northeast Depth],0.113939627,0.164958846,0.273848202,0.372747831,0.41127368
B[Maui-Northwest Depth],0.163579865,0.216568142,0.327491906,0.443101553,0.495301183
B[Molokai-Northwest Depth],0.130168614,0.179460165,0.287165421,0.385224356,0.428591677
B[Molokai-Pali Depth],0.142507549,0.18679737,0.289799935,0.384519399,0.42316633
B[Molokai-South Depth],0.206199955,0.242241267,0.330295298,0.419949031,0.457688808
B[Molokai-West Depth],0.235820434,0.272469968,0.36288656,0.456799318,0.498308685
B[Niihau-East Depth],0.206481216,0.251806713,0.363625621,0.484863919,0.541287527
B[Niihau-Lehua Depth],0.108984371,0.167410087,0.294368845,0.419563562,0.472862027
B[Niihau-West Depth],0.167590497,0.216348752,0.326087046,0.434998642,0.482881991
B[Oahu-East Depth],0.221142022,0.266570881,0.375481406,0.492790559,0.543102981
B[Oahu-Kaena Depth],0.13246304,0.186972156,0.301917784,0.411045289,0.456500565
B[Oahu-Northeast Depth],0.27713886,0.317260511,0.420169056,0.539203276,0.595900908
B[Oahu-Northwest Depth],0.183581776,0.229684494,0.334168847,0.439089985,0.482420641
B[Oahu-South Depth],0.231232904,0.272489835,0.372218491,0.47649119,0.522053771
B[Hawaii-Hamakua Complexity],0.470676636,0.52072439,0.641700894,0.762151673,0.814796174
B[Hawaii-Kona Complexity],0.153980486,0.200955512,0.312575295,0.421372425,0.465735384
B[Hawaii-Puna Complexity],0.332430518,0.395731346,0.542301625,0.684807278,0.746339613
B[Hawaii-Southeast Complexity],0.401878551,0.460005253,0.599887162,0.750275639,0.81794851
B[Kauai-East Complexity],0.986392004,1.07958881,1.326597374,1.602868993,1.720621917
B[Kauai-Na Pali Complexity],0.63034155,0.723241875,0.950037057,1.194154672,1.305648108
B[Lanai-North Complexity],0.525178576,0.595357751,0.767768473,0.95704759,1.04574962
B[Lanai-South Complexity],0.542826235,0.594909735,0.725124159,0.857899621,0.916196102
B[Maui-Kahului Complexity],0.490503048,0.549618124,0.698124244,0.854106857,0.927120995
B[Maui-Kihei Complexity],0.533466602,0.587985255,0.721655296,0.865931673,0.929482733
B[Maui-Lahaina Complexity],0.516715067,0.577151192,0.718397191,0.873768975,0.942652665
B[Maui-Northeast Complexity],0.364693914,0.421025362,0.549692349,0.673204985,0.722238958
B[Maui-Northwest Complexity],0.499284435,0.566076641,0.720808772,0.893566427,0.972748729
B[Molokai-Northwest Complexity],0.43156197,0.483296348,0.599511204,0.712121347,0.761050018
B[Molokai-Pali Complexity],0.522025013,0.577677087,0.706059079,0.841123779,0.90140801
B[Molokai-South Complexity],0.442650292,0.492209847,0.605992501,0.720096032,0.766725021
B[Molokai-West Complexity],0.451074997,0.510400633,0.649164339,0.789442809,0.852850356
B[Niihau-East Complexity],0.676896093,0.754862007,0.962546443,1.208354099,1.316467007
B[Niihau-Lehua Complexity],-0.073280211,0.000552541,0.181543968,0.351347334,0.420414751
B[Niihau-West Complexity],0.583487823,0.63862084,0.773266733,0.91348933,0.97339425
B[Oahu-East Complexity],0.543417629,0.612775111,0.78658616,0.981372368,1.068242161
B[Oahu-Kaena Complexity],0.41572404,0.500409626,0.678630922,0.85793209,0.937462905
B[Oahu-Northeast Complexity],0.562887472,0.630376477,0.800722639,0.993468704,1.085728784
B[Oahu-Northwest Complexity],0.490553508,0.558130994,0.722778456,0.892068247,0.966176422
B[Oahu-South Complexity],0.517749992,0.585715792,0.757271496,0.93971516,1.02199376
B[Hawaii-Hamakua Water Clarity],0.073123414,0.101565296,0.176262231,0.263211503,0.30484178
B[Hawaii-Kona Water Clarity],0.046964258,0.075795076,0.148561671,0.228004693,0.264842235
B[Hawaii-Puna Water Clarity],0.054305572,0.083588974,0.157334527,0.24123703,0.282386665
B[Hawaii-Southeast Water Clarity],0.049780282,0.078880392,0.152529526,0.234927111,0.272974834
B[Kauai-East Water Clarity],0.029265009,0.060954786,0.14206615,0.229402803,0.271150199
B[Kauai-Na Pali Water Clarity],0.021825879,0.053912975,0.130715712,0.215490305,0.255654291
B[Lanai-North Water Clarity],0.01499561,0.045871992,0.120229414,0.197163774,0.231437957
B[Lanai-South Water Clarity],0.040184743,0.068520234,0.139105092,0.214637047,0.247768736
B[Maui-Kahului Water Clarity],0.034577859,0.062412833,0.130893919,0.204467963,0.237827599
B[Maui-Kihei Water Clarity],0.019154456,0.047307012,0.115906105,0.184611756,0.214272679
B[Maui-Lahaina Water Clarity],0.0248684,0.054000052,0.121808428,0.193235659,0.225021702
B[Maui-Northeast Water Clarity],-0.002856053,0.028260576,0.101522687,0.170774844,0.199472786
B[Maui-Northwest Water Clarity],0.019578025,0.050796264,0.121181508,0.194128763,0.228267575
B[Molokai-Northwest Water Clarity],0.046915672,0.075419735,0.144662856,0.220822955,0.256187133
B[Molokai-Pali Water Clarity],0.045727093,0.073013219,0.142928321,0.218287524,0.253073573
B[Molokai-South Water Clarity],0.025848396,0.053542827,0.119487671,0.185045994,0.21304012
B[Molokai-West Water Clarity],0.036258623,0.064855823,0.13424254,0.207128919,0.240250739
B[Niihau-East Water Clarity],0.028027855,0.058399517,0.132052208,0.211557034,0.248657969
B[Niihau-Lehua Water Clarity],-0.01578003,0.019020472,0.098849892,0.17754035,0.211263352
B[Niihau-West Water Clarity],0.035756197,0.062844744,0.131701495,0.202729505,0.234524751
B[Oahu-East Water Clarity],0.038182218,0.068047918,0.14254341,0.222439013,0.259284723
B[Oahu-Kaena Water Clarity],0.034728082,0.065424607,0.139894488,0.220530055,0.257968101
B[Oahu-Northeast Water Clarity],0.044447055,0.075284635,0.14946531,0.228990251,0.26731306
B[Oahu-Northwest Water Clarity],0.02590918,0.05792834,0.131814819,0.210773835,0.246721235
B[Oahu-South Water Clarity],0.0873089,0.116276905,0.197132885,0.293324808,0.340818233
B[Hawaii-Hamakua SST],-0.344440398,-0.282754767,-0.149151763,-0.035942223,-0.003724413
B[Hawaii-Kona SST],-0.280421813,-0.230072385,-0.115071818,-0.01423502,0.011856462
B[Hawaii-Puna SST],-0.318566518,-0.259263211,-0.134386834,-0.025054389,0.003974912
B[Hawaii-Southeast SST],-0.312590951,-0.256336916,-0.127994595,-0.020744339,0.007239057
B[Kauai-East SST],-0.410092514,-0.335679338,-0.174257109,-0.042914106,-0.006259088
B[Kauai-Na Pali SST],-0.395492101,-0.31888125,-0.163504501,-0.038139236,-0.003152207
B[Lanai-North SST],-0.365271915,-0.295764901,-0.149583302,-0.030863463,0.001173801
B[Lanai-South SST],-0.356762369,-0.291902509,-0.149106755,-0.032165283,-0.000344363
B[Maui-Kahului SST],-0.3461297,-0.287070838,-0.15436075,-0.040467429,-0.007209909
B[Maui-Kihei SST],-0.331825773,-0.275815163,-0.147343014,-0.036554096,-0.004705723
B[Maui-Lahaina SST],-0.336369195,-0.278650247,-0.150760448,-0.038055644,-0.005837703
B[Maui-Northeast SST],-0.331745352,-0.274993853,-0.145599632,-0.034537417,-0.00320462
B[Maui-Northwest SST],-0.341517961,-0.282050148,-0.147447127,-0.033605404,-0.002900139
B[Molokai-Northwest SST],-0.361927789,-0.297261171,-0.157454533,-0.039140832,-0.0053325
B[Molokai-Pali SST],-0.368294803,-0.303728226,-0.161767259,-0.043368421,-0.007993229
B[Molokai-South SST],-0.371755416,-0.307137025,-0.164419896,-0.045014663,-0.009699196
B[Molokai-West SST],-0.328460034,-0.267812752,-0.135606445,-0.024262747,0.004980953
B[Niihau-East SST],-0.343771794,-0.275424307,-0.129794152,-0.016008839,0.012092422
B[Niihau-Lehua SST],-0.361176356,-0.284804762,-0.129439239,-0.010341139,0.020949044
B[Niihau-West SST],-0.343368034,-0.274312371,-0.134124024,-0.021133322,0.007598161
B[Oahu-East SST],-0.322549772,-0.263780589,-0.13125391,-0.020315103,0.007701091
B[Oahu-Kaena SST],-0.34289833,-0.280326536,-0.144288752,-0.02789082,0.003269038
B[Oahu-Northeast SST],-0.332588058,-0.273436559,-0.142979213,-0.030129273,6.60E-05
B[Oahu-Northwest SST],-0.323462451,-0.26229937,-0.12899668,-0.018383799,0.010029055
B[Oahu-South SST],-0.360126756,-0.293845403,-0.154393424,-0.037811993,-0.004200997
B[Hawaii-Hamakua Waves],-0.009324626,0.016199624,0.164094544,0.408389728,0.526373611
B[Hawaii-Kona Waves],-0.02008034,0.007309939,0.149925652,0.386727818,0.509204637
B[Hawaii-Puna Waves],-0.011843238,0.012736664,0.159024847,0.400326283,0.515389567
B[Hawaii-Southeast Waves],-0.019924928,0.006123536,0.140540003,0.37099233,0.484402402
B[Kauai-East Waves],-0.033806679,-0.000252851,0.127136495,0.360915532,0.483850053
