,17%,25%,50%,75%,83%
B[Oahu-East CCA],0.053409985,0.115287907,0.277786177,0.476917298,0.579913118
B[Oahu-Kaena CCA],0.033147314,0.097704158,0.259314374,0.453604195,0.550252726
B[Oahu-Northeast CCA],0.05845027,0.122932851,0.286643965,0.494881751,0.606461492
B[Oahu-Northwest CCA],0.018648953,0.085684574,0.252512979,0.450108339,0.547503827
B[Oahu-South CCA],0.041675296,0.106266866,0.275743888,0.48856388,0.599993019
B[Hawaii-Hamakua Depth],-0.005301008,0.022426979,0.126311706,0.255102037,0.315746467
B[Hawaii-Kona Depth],-0.078723975,-0.024070768,0.064277785,0.171031622,0.21883424
B[Hawaii-Puna Depth],0.003982007,0.034911032,0.148441054,0.293419783,0.364668055
B[Hawaii-Southeast Depth],-0.025505211,0.005156588,0.104094784,0.229986376,0.288880688
B[Kauai-East Depth],-0.012604421,0.017692567,0.142632747,0.313697838,0.40245868
B[Kauai-Na Pali Depth],-0.008379407,0.019684109,0.137481885,0.287020954,0.3588053
B[Lanai-North Depth],0.005898785,0.038383713,0.155377694,0.301350204,0.369608812
B[Lanai-South Depth],0.022483537,0.061688138,0.19186306,0.351574528,0.431535153
B[Maui-Kahului Depth],-0.010069443,0.018334776,0.121746254,0.247610644,0.305715218
B[Maui-Kihei Depth],0.000477545,0.030162523,0.138042821,0.267609188,0.326245684
B[Maui-Lahaina Depth],0.003391372,0.033900174,0.144698599,0.278657011,0.341955321
B[Maui-Northeast Depth],-0.019546291,0.009256102,0.10872574,0.230140777,0.28374958
B[Maui-Northwest Depth],-0.008849821,0.019174688,0.126817159,0.256018714,0.318934833
B[Molokai-Northwest Depth],-0.014631022,0.01361797,0.117644251,0.239734246,0.295030589
B[Molokai-Pali Depth],0.004036398,0.033574957,0.143473119,0.274200861,0.331422667
B[Molokai-South Depth],-0.00668941,0.020055263,0.122826414,0.238836979,0.290870017
B[Molokai-West Depth],-0.003426974,0.024300197,0.127720123,0.252610575,0.308451892
B[Niihau-East Depth],-0.012099806,0.020656204,0.159593995,0.352289035,0.455147994
B[Niihau-Lehua Depth],-0.063155389,-0.012395605,0.095337907,0.242015812,0.310519047
B[Niihau-West Depth],-0.04378524,-0.004194683,0.093033619,0.21910563,0.273312382
B[Oahu-East Depth],-0.013639995,0.014674373,0.123000773,0.255392074,0.315843659
B[Oahu-Kaena Depth],-0.01086725,0.018490191,0.130960849,0.267241621,0.331797113
B[Oahu-Northeast Depth],0.003131938,0.033956147,0.155024288,0.305350487,0.379099832
B[Oahu-Northwest Depth],0.011106131,0.0480591,0.176648266,0.340334669,0.424459137
B[Oahu-South Depth],-0.03397694,0.000791534,0.10484754,0.232131665,0.291612692
B[Hawaii-Hamakua Complexity],0.623067719,0.716051169,0.945827688,1.160685466,1.247827177
B[Hawaii-Kona Complexity],0.45183503,0.529192688,0.712637364,0.891058406,0.963886113
B[Hawaii-Puna Complexity],0.583985049,0.696161556,0.966309403,1.237656569,1.354029657
B[Hawaii-Southeast Complexity],0.624142537,0.731799369,0.992715398,1.254011367,1.370431136
B[Kauai-East Complexity],2.437314676,2.624811813,3.078286735,3.569255108,3.781447949
B[Kauai-Na Pali Complexity],0.905118902,1.127286063,1.61902636,2.087067535,2.286445578
B[Lanai-North Complexity],0.884905025,1.033535519,1.394049346,1.799242975,1.987733575
B[Lanai-South Complexity],0.595665023,0.710246439,0.977675837,1.229843835,1.329959937
B[Maui-Kahului Complexity],0.921920326,1.049514032,1.358087752,1.673635146,1.811678787
B[Maui-Kihei Complexity],1.027455799,1.134633514,1.403879377,1.684507647,1.808805637
B[Maui-Lahaina Complexity],0.934749364,1.061052714,1.355424718,1.6568366,1.787011247
B[Maui-Northeast Complexity],0.651319652,0.762831362,1.011285086,1.250303115,1.346069448
B[Maui-Northwest Complexity],0.999279617,1.134544522,1.462583886,1.823804288,1.989230825
B[Molokai-Northwest Complexity],0.719975697,0.82619201,1.068745006,1.308223167,1.404288245
B[Molokai-Pali Complexity],0.944003888,1.053533294,1.310908833,1.576452385,1.692420887
B[Molokai-South Complexity],0.806276435,0.90940123,1.14142072,1.370686376,1.464622931
B[Molokai-West Complexity],0.979160458,1.10072062,1.383435817,1.680999179,1.813299633
B[Niihau-East Complexity],2.143457595,2.335808452,2.83996958,3.359333874,3.578863955
B[Niihau-Lehua Complexity],-0.136271789,-0.010825057,0.29088852,0.594534447,0.712551535
B[Niihau-West Complexity],1.078966298,1.189529226,1.448518059,1.713366883,1.827590699
B[Oahu-East Complexity],1.023152554,1.193997084,1.591491622,1.996911685,2.171524342
B[Oahu-Kaena Complexity],0.892622921,1.102797207,1.546900595,1.967152634,2.140407968
B[Oahu-Northeast Complexity],1.594664633,1.744965453,2.15624511,2.654293283,2.899967388
B[Oahu-Northwest Complexity],1.504207262,1.666257773,2.051386508,2.468797733,2.643321043
B[Oahu-South Complexity],1.243887554,1.395216671,1.774204385,2.1888072,2.371674359
B[Hawaii-Hamakua Water Clarity],0.108892267,0.166996186,0.325963769,0.514847757,0.606522903
B[Hawaii-Kona Water Clarity],0.042945819,0.096877154,0.234639695,0.381155017,0.444907214
B[Hawaii-Puna Water Clarity],0.060528827,0.122143267,0.28125932,0.473954274,0.566802917
B[Hawaii-Southeast Water Clarity],0.0228904,0.086233797,0.246198165,0.423684741,0.506595184
B[Kauai-East Water Clarity],0.089928475,0.163521424,0.369866425,0.62169986,0.739294653
B[Kauai-Na Pali Water Clarity],0.00569904,0.076783298,0.25703225,0.466690089,0.566006581
B[Lanai-North Water Clarity],-0.11826773,-0.019287089,0.151635336,0.320256074,0.392796775
B[Lanai-South Water Clarity],0.002434952,0.059641065,0.206974131,0.364513653,0.433373367
B[Maui-Kahului Water Clarity],-0.048074238,0.018969683,0.171957784,0.326979743,0.395879863
B[Maui-Kihei Water Clarity],-0.081010866,-0.002717953,0.14562887,0.294495107,0.357261189
B[Maui-Lahaina Water Clarity],-0.063444672,0.010082354,0.161073633,0.315137024,0.386072784
B[Maui-Northeast Water Clarity],-0.167024954,-0.062978877,0.109758718,0.261366063,0.326384838
B[Maui-Northwest Water Clarity],-0.092329776,-0.004428084,0.156812162,0.323494803,0.399264722
B[Molokai-Northwest Water Clarity],0.022053184,0.082511282,0.234652319,0.417620817,0.502134181
B[Molokai-Pali Water Clarity],0.07115039,0.12936372,0.28340019,0.479310676,0.574008676
B[Molokai-South Water Clarity],-0.067595389,0.002401069,0.143266369,0.282340199,0.341673333
B[Molokai-West Water Clarity],0.010329147,0.071526992,0.225062266,0.396471418,0.476949228
B[Niihau-East Water Clarity],0.224327358,0.325824419,0.673445831,1.159006251,1.381975535
B[Niihau-Lehua Water Clarity],-0.494417364,-0.357142968,-0.069408731,0.131300713,0.202947813
B[Niihau-West Water Clarity],-0.150651344,-0.066513749,0.09470258,0.242386261,0.303383293
B[Oahu-East Water Clarity],0.044996189,0.112066061,0.282701786,0.477202861,0.566250313
B[Oahu-Kaena Water Clarity],0.020545185,0.090325246,0.267053279,0.469487261,0.563288803
B[Oahu-Northeast Water Clarity],0.017909264,0.087002888,0.264847539,0.460105392,0.556088848
B[Oahu-Northwest Water Clarity],0.017571597,0.089293802,0.268307984,0.482910767,0.586839307
B[Oahu-South Water Clarity],0.190809151,0.261760112,0.456682062,0.680872577,0.782996654
B[Hawaii-Hamakua SST],-0.327323082,-0.244936103,-0.074074943,0.026974494,0.078110548
B[Hawaii-Kona SST],-0.256906778,-0.188960818,-0.045357337,0.05191006,0.107874389
B[Hawaii-Puna SST],-0.344470078,-0.256514234,-0.080494897,0.023395531,0.068958467
B[Hawaii-Southeast SST],-0.30082035,-0.222384598,-0.059164423,0.040653584,0.096348884
B[Kauai-East SST],-0.4747118,-0.343830178,-0.107063867,0.019752155,0.073018534
B[Kauai-Na Pali SST],-0.403257085,-0.297235033,-0.086447998,0.025967263,0.076982407
B[Lanai-North SST],-0.372947623,-0.272889581,-0.081871926,0.025354364,0.075156708
B[Lanai-South SST],-0.356172098,-0.26586322,-0.081713409,0.02390679,0.073857991
B[Maui-Kahului SST],-0.363584011,-0.274426573,-0.089265925,0.018116748,0.063239139
B[Maui-Kihei SST],-0.355547082,-0.266143846,-0.084645787,0.020528968,0.069590748
B[Maui-Lahaina SST],-0.355657687,-0.265418484,-0.083969571,0.022420416,0.071660985
B[Maui-Northeast SST],-0.374508234,-0.28302442,-0.092623186,0.015644676,0.06059709
B[Maui-Northwest SST],-0.370281562,-0.279246217,-0.08667098,0.020664607,0.069085428
B[Molokai-Northwest SST],-0.380831784,-0.281551804,-0.087380592,0.019379458,0.067020483
